RUN tag=full  R=200  scen=S1_jan+S2_jul+S4_miss+S3_nogp  chains=4 iter=1500 warmup=750
shard 0/3 handles 67 reps
[full] scen=S1_jan rep=1/200 done (12.5 min elapsed)
[full] scen=S1_jan rep=4/200 done (23.2 min elapsed)
[full] scen=S1_jan rep=7/200 done (35.7 min elapsed)
[full] scen=S1_jan rep=10/200 done (46.0 min elapsed)
[full] scen=S1_jan rep=13/200 done (56.7 min elapsed)
[full] scen=S1_jan rep=16/200 done (67.6 min elapsed)
[full] scen=S1_jan rep=19/200 done (77.4 min elapsed)
[full] scen=S1_jan rep=22/200 done (86.4 min elapsed)
[full] scen=S1_jan rep=25/200 done (94.4 min elapsed)
[full] scen=S1_jan rep=28/200 done (103.3 min elapsed)
[full] scen=S1_jan rep=31/200 done (113.1 min elapsed)
[full] scen=S1_jan rep=34/200 done (121.5 min elapsed)
[full] scen=S1_jan rep=37/200 done (130.6 min elapsed)
[full] scen=S1_jan rep=40/200 done (138.5 min elapsed)
[full] scen=S1_jan rep=43/200 done (147.3 min elapsed)
[full] scen=S1_jan rep=46/200 done (157.1 min elapsed)
[full] scen=S1_jan rep=49/200 done (165.2 min elapsed)
[full] scen=S1_jan rep=52/200 done (175.0 min elapsed)
[full] scen=S1_jan rep=55/200 done (183.0 min elapsed)
[full] scen=S1_jan rep=58/200 done (194.9 min elapsed)
[full] scen=S1_jan rep=61/200 done (208.2 min elapsed)
[full] scen=S1_jan rep=64/200 done (220.8 min elapsed)
[full] scen=S1_jan rep=67/200 done (230.2 min elapsed)
[full] scen=S1_jan rep=70/200 done (238.6 min elapsed)
[full] scen=S1_jan rep=73/200 done (249.1 min elapsed)
[full] scen=S1_jan rep=76/200 done (257.1 min elapsed)
[full] scen=S1_jan rep=79/200 done (266.0 min elapsed)
[full] scen=S1_jan rep=82/200 done (276.9 min elapsed)
[full] scen=S1_jan rep=85/200 done (288.6 min elapsed)
[full] scen=S1_jan rep=88/200 done (302.1 min elapsed)
[full] scen=S1_jan rep=91/200 done (313.8 min elapsed)
[full] scen=S1_jan rep=94/200 done (324.9 min elapsed)
[full] scen=S1_jan rep=97/200 done (338.1 min elapsed)
[full] scen=S1_jan rep=100/200 done (350.3 min elapsed)
[full] scen=S1_jan rep=103/200 done (362.4 min elapsed)
[full] scen=S1_jan rep=106/200 done (374.7 min elapsed)
[full] scen=S1_jan rep=109/200 done (440.1 min elapsed)
[full] scen=S1_jan rep=112/200 done (449.0 min elapsed)
[full] scen=S1_jan rep=115/200 done (458.1 min elapsed)
[full] scen=S1_jan rep=118/200 done (465.8 min elapsed)
[full] scen=S1_jan rep=121/200 done (473.9 min elapsed)
[full] scen=S1_jan rep=124/200 done (482.2 min elapsed)
[full] scen=S1_jan rep=127/200 done (491.4 min elapsed)
[full] scen=S1_jan rep=130/200 done (498.2 min elapsed)
[full] scen=S1_jan rep=133/200 done (508.6 min elapsed)
[full] scen=S1_jan rep=136/200 done (518.0 min elapsed)
[full] scen=S1_jan rep=139/200 done (531.0 min elapsed)
[full] scen=S1_jan rep=142/200 done (540.3 min elapsed)
[full] scen=S1_jan rep=145/200 done (548.8 min elapsed)
[full] scen=S1_jan rep=148/200 done (558.6 min elapsed)
[full] scen=S1_jan rep=151/200 done (568.1 min elapsed)
[full] scen=S1_jan rep=154/200 done (576.4 min elapsed)
[full] scen=S1_jan rep=157/200 done (584.1 min elapsed)
[full] scen=S1_jan rep=160/200 done (593.9 min elapsed)
[full] scen=S1_jan rep=163/200 done (601.6 min elapsed)
[full] scen=S1_jan rep=166/200 done (609.7 min elapsed)
[full] scen=S1_jan rep=169/200 done (617.6 min elapsed)
[full] scen=S1_jan rep=172/200 done (625.5 min elapsed)
[full] scen=S1_jan rep=175/200 done (634.5 min elapsed)
[full] scen=S1_jan rep=178/200 done (643.9 min elapsed)
[full] scen=S1_jan rep=181/200 done (652.7 min elapsed)
