RUN tag=s3  R=200  scen=S3_nogp  chains=4 iter=1500 warmup=750
shard 0/3 handles 67 reps
[s3] scen=S3_nogp rep=1/200 done (9.1 min elapsed)
[s3] scen=S3_nogp rep=4/200 done (20.9 min elapsed)
[s3] scen=S3_nogp rep=7/200 done (31.2 min elapsed)
[s3] scen=S3_nogp rep=10/200 done (42.3 min elapsed)
[s3] scen=S3_nogp rep=13/200 done (55.0 min elapsed)
[s3] scen=S3_nogp rep=16/200 done (64.7 min elapsed)
[s3] scen=S3_nogp rep=19/200 done (73.2 min elapsed)
[s3] scen=S3_nogp rep=22/200 done (82.5 min elapsed)
[s3] scen=S3_nogp rep=25/200 done (91.9 min elapsed)
[s3] scen=S3_nogp rep=28/200 done (101.1 min elapsed)
[s3] scen=S3_nogp rep=31/200 done (111.2 min elapsed)
[s3] scen=S3_nogp rep=34/200 done (119.8 min elapsed)
[s3] scen=S3_nogp rep=37/200 done (129.2 min elapsed)
[s3] scen=S3_nogp rep=40/200 done (139.0 min elapsed)
[s3] scen=S3_nogp rep=43/200 done (147.7 min elapsed)
[s3] scen=S3_nogp rep=46/200 done (157.6 min elapsed)
[s3] scen=S3_nogp rep=49/200 done (165.6 min elapsed)
[s3] scen=S3_nogp rep=52/200 done (174.7 min elapsed)
[s3] scen=S3_nogp rep=55/200 done (181.7 min elapsed)
[s3] scen=S3_nogp rep=58/200 done (191.2 min elapsed)
[s3] scen=S3_nogp rep=61/200 done (200.1 min elapsed)
[s3] scen=S3_nogp rep=64/200 done (210.2 min elapsed)
[s3] scen=S3_nogp rep=67/200 done (219.8 min elapsed)
[s3] scen=S3_nogp rep=70/200 done (229.7 min elapsed)
[s3] scen=S3_nogp rep=73/200 done (239.2 min elapsed)
[s3] scen=S3_nogp rep=76/200 done (248.4 min elapsed)
[s3] scen=S3_nogp rep=79/200 done (256.9 min elapsed)
[s3] scen=S3_nogp rep=82/200 done (266.2 min elapsed)
[s3] scen=S3_nogp rep=85/200 done (275.4 min elapsed)
[s3] scen=S3_nogp rep=88/200 done (287.8 min elapsed)
[s3] scen=S3_nogp rep=91/200 done (296.8 min elapsed)
[s3] scen=S3_nogp rep=94/200 done (306.0 min elapsed)
[s3] scen=S3_nogp rep=97/200 done (353.1 min elapsed)
[s3] scen=S3_nogp rep=100/200 done (362.2 min elapsed)
[s3] scen=S3_nogp rep=103/200 done (370.0 min elapsed)
[s3] scen=S3_nogp rep=106/200 done (382.2 min elapsed)
[s3] scen=S3_nogp rep=109/200 done (389.9 min elapsed)
[s3] scen=S3_nogp rep=112/200 done (399.3 min elapsed)
[s3] scen=S3_nogp rep=115/200 done (407.5 min elapsed)
[s3] scen=S3_nogp rep=118/200 done (415.9 min elapsed)
[s3] scen=S3_nogp rep=121/200 done (423.8 min elapsed)
[s3] scen=S3_nogp rep=124/200 done (432.0 min elapsed)
[s3] scen=S3_nogp rep=127/200 done (441.0 min elapsed)
[s3] scen=S3_nogp rep=130/200 done (449.5 min elapsed)
[s3] scen=S3_nogp rep=133/200 done (458.3 min elapsed)
[s3] scen=S3_nogp rep=136/200 done (467.6 min elapsed)
[s3] scen=S3_nogp rep=139/200 done (480.2 min elapsed)
[s3] scen=S3_nogp rep=142/200 done (488.4 min elapsed)
[s3] scen=S3_nogp rep=145/200 done (550.1 min elapsed)
[s3] scen=S3_nogp rep=148/200 done (559.3 min elapsed)
[s3] scen=S3_nogp rep=151/200 done (569.5 min elapsed)
[s3] scen=S3_nogp rep=154/200 done (577.8 min elapsed)
[s3] scen=S3_nogp rep=157/200 done (587.0 min elapsed)
[s3] scen=S3_nogp rep=160/200 done (596.4 min elapsed)
[s3] scen=S3_nogp rep=163/200 done (605.4 min elapsed)
[s3] scen=S3_nogp rep=166/200 done (614.3 min elapsed)
[s3] scen=S3_nogp rep=169/200 done (622.8 min elapsed)
[s3] scen=S3_nogp rep=172/200 done (631.9 min elapsed)
[s3] scen=S3_nogp rep=175/200 done (640.5 min elapsed)
[s3] scen=S3_nogp rep=178/200 done (652.9 min elapsed)
[s3] scen=S3_nogp rep=181/200 done (661.8 min elapsed)
[s3] scen=S3_nogp rep=184/200 done (669.8 min elapsed)
[s3] scen=S3_nogp rep=187/200 done (679.7 min elapsed)
[s3] scen=S3_nogp rep=190/200 done (688.9 min elapsed)
[s3] scen=S3_nogp rep=193/200 done (698.0 min elapsed)
[s3] scen=S3_nogp rep=196/200 done (707.1 min elapsed)
[s3] scen=S3_nogp rep=199/200 done (716.3 min elapsed)
Ci sono 50 o più avvertimenti (utilizza warnings() per visualizzare i primi 50)

DONE. Wrote sim/sim_results_s3_shard0.rds with 1876 rows
